numericID,Progress,Finished,Consent,Age,Gender,Gender_6_TEXT,Male,State,State2,LocalArea,Education,Education_7_TEXT,Employment,Income,Legal_TIME_First_Click,Legal_TIME_Last_Click,Legal_TIME_Page_Submit,Legal_TIME_Click_Count,Legal_Post,Legal_Pubs,Legal_All,NS_Fair,NS_Display,NS_Title,MEDIA,VenueInfo_Contact,VenueInfo_Hourly,ScreenMSG,Counselling_Treat,PC_TIME_First_Click,PC_TIME_Last_Click,PC_TIME_Page_Submit,PC_TIME_Click_Count,PC_Pokies,PC_All,SE_TIME_First_Click,SE_TIME_Last_Click,SE_TIME_Page_Submit,SE_TIME_Click_Count,SE_Pokies,SE_All,MaxBets,Resp_INDV,Resp_SNtwk,Resp_Design,Resp_Venues,Resp_Empl,Resp_Gvmt,Resp_Aust,Cards,Racing,SportsBetting,Dice,SkillGame,Pokies,Bingo,CasinoGames,LotteryScratch,None,Gambl_total,GamblMstDollars,GamblMstCents,PGSI_1,PGSI_2,PGSI_3,PGSI_4,PGSI_5,PGSI_6,PGSI_7,PGSI_8,PGSI_9,PGSI_total,PGSI_class,Gender_quota,Age_quota,Group,Group_N,Control,Brain,Design,Clubs,SpeedInterv,Speed1,Speed2,SpeedFinal,ArticleTime,ArticleTime2,ArticleCheck1,ArticleCheck2,TotalCheck
365,100,TRUE,Yes,28,Female,NA,FALSE,New South Wales,New South Wales,Major City,"A trade, technical certificate or diploma",NA,"Yes, full time","$2,000 - $2,499",2.847,14.392,15.121,15,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Agree,Slightly Disagree,1.321,12.525,13.03,13,Strongly Agree,Strongly Agree,5.225,12.886,13.291,9,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,0,0,0,0,0,0,0,0,0,TRUE,0,10,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,69.986,33.26,Music,Correct,Correct
366,100,TRUE,Yes,20,Male,NA,TRUE,Victoria,Victoria,Inner Regional,"A trade, technical certificate or diploma",NA,"Yes, casual",$800 - $999,8.055,26.852,27.399,14,Strongly Agree,Slightly Agree,Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Slightly Agree,2.063,47.74,48.167,20,Agree,Disagree,1.385,33.562,35.947,16,Agree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,2,0,0,0,0,0,0,0,0,FALSE,2,50,0,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Sometimes,3,Moderate Risk,Male,18-24,Clubs,4,0,0,0,1,NA,NA,NA,NA,127.875,22.161,Again,Correct,Correct
368,100,TRUE,Yes,36,Female,NA,FALSE,New South Wales,New South Wales,Major City,Undergraduate university degree,NA,"No, not employed - not looking for work","$5,000 or more",0.792,17.585,18.377,16,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,1.188,29.899,31.348,28,Slightly Agree,Agree,0.933,9.708,10.4,15,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Slightly Disagree,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,35-44,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
379,100,TRUE,Yes,27,Male,NA,TRUE,Victoria,Victoria,Major City,Postgraduate degree,NA,"Yes, full time","$1,500 - $1,999",2.075,32.387,33.338,12,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,13.954,64.291,71.002,9,Agree,Strongly Agree,0.774,5.372,6.123,5,Slightly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,3,0,1,0,0,3,0,0,0,FALSE,7,56,32,Almost always,Most of the time,Almost always,Most of the time,Most of the time,Almost always,Most of the time,Sometimes,Almost always,21,High Risk,Male,25-34,Clubs,4,0,0,0,1,NA,NA,NA,NA,64.232,13.626,Again,Union,Failed
380,100,TRUE,Yes,34,Female,NA,FALSE,Victoria,Victoria,Major City,Year 10 or below,NA,Currently stood-down,"$1,250 - $1,499",7.138,20.148,21.279,9,Strongly Agree,Slightly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,3.148,29.1,30.13,9,Strongly Agree,Agree,7.047,18.694,19.479,9,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0,0,0,0,0,0,0,0,60,FALSE,60,25,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
385,100,TRUE,Yes,29,Female,NA,FALSE,New South Wales,New South Wales,Inner Regional,Undergraduate university degree,NA,"Yes, full time","$3,500 - $3,999",5.671,12.256,13.194,3,Agree,Slightly Disagree,Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,3.386,6.251,7.017,3,Slightly Agree,Slightly Agree,2.401,3.235,3.898,2,Slightly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,3,0,1,0,0,0,0,0,0,FALSE,4,50,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Brain,2,0,1,0,0,NA,NA,NA,NA,521.297,23.424,Depression,Correct,Correct
387,100,TRUE,Yes,43,Female,NA,FALSE,New South Wales,New South Wales,Major City,"A trade, technical certificate or diploma",NA,"No, not employed - not looking for work",$600 - $799,1.469,17.15,18.101,11,Slightly Agree,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,1.168,10.423,11.448,8,Slightly Agree,Slightly Agree,1.049,11.01,11.949,7,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0,0,0,0,0,50,0,0,20,FALSE,70,4000,0,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,3,Moderate Risk,Female,35-44,Clubs,4,0,0,0,1,NA,NA,NA,NA,46.291,29.445,Music,Correct,Correct
389,100,TRUE,Yes,20,Female,NA,FALSE,New South Wales,New South Wales,Inner Regional,"A trade, technical certificate or diploma",Tafe certificate,"No, not employed - not looking for work",$400 - $599,1.305,17.055,17.501,17,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,0.748,15.841,16.22,21,Strongly Agree,Strongly Agree,1.814,6.262,6.723,10,Agree,Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,0,50,0,0,0,1000,20,0,10,FALSE,1080,400,0,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Never,Sometimes,Never,Sometimes,8,High Risk,Female,18-24,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
390,100,TRUE,Yes,25,Female,NA,FALSE,Victoria,Victoria,Major City,Undergraduate university degree,NA,"Yes, part time",$400 - $599,4.681,14.468,15.768,7,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,0.718,8.798,9.354,4,Strongly Agree,Strongly Agree,0.906,6.111,6.756,6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,0,0,0,0,0,0,0,0,FALSE,2,100,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Female,25-34,Design,3,0,0,1,0,NA,NA,NA,NA,55.916,5.722,Music,Correct,Correct
393,100,TRUE,Yes,50,Male,NA,TRUE,Victoria,Victoria,Major City,"A trade, technical certificate or diploma",NA,"No, not employed - looking for work",$200 - $299,1.237,20.33,21.381,8,Agree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,I Don't Know,Slightly Agree,Agree,Agree,Agree,Strongly Agree,2.034,20.194,21.293,10,Slightly Agree,Slightly Agree,1.187,5.921,7.123,6,Agree,Agree,Slightly Agree,Agree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,0,0,0,0,0,0,0,0,2,FALSE,2,10,0,Never,Never,Never,Never,Never,Never,Never,Never,Never,0,No Harm,Male,45-54,Control,1,1,0,0,0,NA,NA,NA,NA,0,0,Control,Control,CTRL
